0.566759077113276+0.778087251304075i 0.608156798521841+1.00644363839121i 0.697327961611126+1.54083902033102i
0.572604256761428+0.776104673493312i 0.614318110665672+1.00660118738733i 0.704231663104007+1.5460070024062i
0.578417363330225+0.77416681135311i 0.620450289234909+1.00678260315346i 0.711070901466243+1.55112684794999i
0.584131266290962+0.772203852082263i 0.626494793174733+1.00690780416035i 0.717861201687307+1.55620301529666i
0.589844206139787+0.770326332529891i 0.632533907366709+1.00713475062842i 0.724587051944418+1.56122241895727i
0.595568576323616+0.768480858672124i 0.638529693204534+1.00731081138302i 0.731260641790909+1.56621085918019i
0.601194046797902+0.766638904813637i 0.644465980337102+1.0074864416237i 0.737882697985936+1.57115118882739i
0.606802639881736+0.764793830357047i 0.650364172021679+1.0076741475349i 0.744455823357441+1.57605741523332i
0.612356669923469+0.763032896327795i 0.656217334294425+1.00785266220849i 0.750980543135557+1.58090422831666i
0.617848587557639+0.761271992596463i 0.662030005099012+1.00803513352716i 0.757453579307491+1.58572920806283i
0.623311433654362+0.759482288407621i 0.667801744372604+1.00821996866806i 0.76388277881599+1.59052102264175i
0.628791515458031+0.757760435247907i 0.673535917307179+1.00840659574461i 0.770264053442547+1.59526711063403i
0.634190854552316+0.755918146166214i 0.679225935166839+1.00858857878865i 0.776595654052413+1.59998295642311i
0.639597301685869+0.754291575013226i 0.68488387236971+1.00877507626389i 0.782895137398176+1.60465675351275i
0.644958651479182+0.752611248385508i 0.690506096693189+1.00896315885309i 0.789106416388228+1.60933931420674i
0.650269300339233+0.750915774345465i 0.696086390392417+1.00915540676553i 0.795338243077666+1.61391210013041i
0.65554912398865+0.749234708296807i 0.701638847706668+1.0093397975362i 0.801499452240178+1.6184908203085i
0.660785979862841+0.747579670080331i 0.707155547643129+1.00952782541259i 0.807617549242794+1.62303843906468i
0.666034208189044+0.745930766370515i 0.71263895313326+1.00973401487219i 0.813705412905901+1.62755198734576i
0.671228262685295+0.744305222764135i 0.718089464161563+1.0099179660442i 0.819750061054184+1.63203946064178i
0.676383439414369+0.742744589468877i 0.723508962577996+1.01011074536006i 0.82574964093282+1.63651465583325i
0.681523431071124+0.741099464513597i 0.728898500743526+1.01030609667705i 0.831717391172398+1.64093819428612i
0.686635833718969+0.739515432762089i 0.734251936384868+1.01049752753452i 0.837648919366877+1.64531076940208i
0.691719451165762+0.737959984075855i 0.73957787192233+1.01069489309145i 0.84354279018687+1.64967931096327i
0.696770465831263+0.736417415346462i 0.744869730177295+1.01089353746451i 0.849406756300117+1.65402086583326i
0.70180413978028+0.734851480695407i 0.750137282707229+1.01109335454679i 0.855227024737711+1.65833394127836i
0.706812804431478+0.733333593787455i 0.75537638353331+1.01128297961246i 0.86101135969572+1.66262309268195i
0.711809088364431+0.731813755880511i 0.760589727266237+1.01148182547064i 0.866774418957971+1.66689912238153i
0.716758516704825+0.730307307013338i 0.765773188887622+1.01168150983566i 0.872500697548111+1.67113326347242i
0.721719283903489+0.728795308986666i 0.770927690409756+1.01188601646671i 0.878193614876802+1.67534355820956i
