2,1,0.5,0.1,0.25,0.75,1.5
-37.273888608742524 + 37.766837774995714i,-26.41051303886565 + 26.718598026378906i,-18.817241960169092 + 19.010760098275213i,-8.49761051366814 + 8.56457654021237i,-13.31661186145697 + 13.439830193317107i,-22.794721247137655 + 23.049579460460667i,-32.30468906779591 + 32.71007678419904i
-37.60916516381727 + 38.0987033455948i,-26.64719206270928 + 26.953223989863467i,-18.983460681500922 + 19.175752104850655i,-8.571629499873357 + 8.638214775198i,-13.434212094183518 + 13.556678358114276i,-23.000428212819283 + 23.253602340500883i,-32.594861947060444 + 32.997486309206714i
-37.94148505292971 + 38.42769291031167i,-26.881790138984215 + 27.185816679307518i,-19.148236586006018 + 19.33932894418281i,-8.645008132630148 + 8.711220798201062i,-13.550789083301389 + 13.67251995169441i,-23.204313309307896 + 23.455842457155455i,-32.882478857495265 + 33.28240474695771i
-38.27092509745001 + 38.753880057389594i,-27.114361187641066 + 27.41642812824673i,-19.311606605190903 + 19.501526479531726i,-8.717762799285389 + 8.783610692808113i,-13.666369102981852 + 13.787380610642014i,-23.40642408205929 + 23.656345805016333i,-33.16760613844023 + 33.56489584911579i
-38.59755884968978 + 39.07733528720674i,-27.34495684006936 + 27.645108186293985i,-19.473606121429473 + 19.6623790830579i,-8.789909199034417 + 8.855399870541655i,-13.78097732142239 + 13.901284899965349i,-23.60680605725875 + 23.85515644561263i,-33.450307309102264 + 33.845020691657815i
-38.921456784428166 + 39.398126190844025i,-27.573626572799643 + 27.871904645423257i,-19.63426905743473 + 19.821919721256535i,-8.861462382451743 + 8.926603109294541i,-13.894637864961283 + 14.014256374829651i,-23.805502823114367 + 24.052316582861984i,-33.73064323356188 + 34.122837829584924i
-39.2426864759432 + 39.716317615282335i,-27.800417831328385 + 28.096863357013007i,-19.793627959194225 + 19.98018003419652i,-8.932436788548973 + 8.997234589380554i,-14.007373877490437 + 14.126317637788805i,-24.00255620159823 + 24.247866728722475i,-34.008672273572174 + 34.398403440314226i
-39.561312762743846 + 40.03197181730187i,-28.02537614494308 + 28.320028340462834i,-19.951714072943854 + 20.13719040910426i,-9.002846279035198 + 9.067307926870484i,-14.119207575581138 + 14.237490391910468i,-24.198006290873842 + 24.441845740951116i,-34.28445043023598 + 34.67177145674735i
-39.87739789991712 + 40.345148605909955i,-28.248545233334347 + 28.54144188411344i,-20.10855741669514 + 20.292980048778542i,-9.07270417015226 + 9.136836204577577i,-14.23016029969865 + 14.347795490152984i,-24.39189158992093 + 24.634290942791043i,-34.55803147553523 + 34.9429936909102i
-40.1910017010002 + 40.65590547510953i,-28.469967105701556 + 28.76114463912632i,-20.26418684678004 + 20.447577035273344i,-9.142023262288019 + 9.20583200088826i,-14.34025256181484 + 14.457252981287828i,-24.58424908153741 + 24.825238201694738i,-34.82946707458657 + 35.21211994896814i
